 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.05E-01   2.35E-03   2.52E-06   5.20E-10   1.25E-11   3.93E-12
   Max.:          2.93E+02   6.36E+00   8.94E-03   5.31E-07   2.57E-08   6.97E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -121    -120    6.92E-01   6.99E-03   9.90E-06   1.19E-09   2.18E-11   9.32E-12
  -120    -119    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -119    -118    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -118    -117    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -117    -116    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -116    -115    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -115    -114    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -114    -113    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -113    -112    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -112    -111    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -111    -110    9.33E-01   8.64E-03   1.09E-05   2.48E-09   4.28E-11   1.38E-11
  -110    -109    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -109    -108    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -108    -107    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -107    -106    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -106    -105    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -105    -104    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
