 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.69E-06   2.81E-12   2.81E-12   1.80E-09   2.58E-12   1.29E-12
   Max.:          4.72E+03   1.12E+02   1.30E-01   1.10E-05   4.52E-07   9.85E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.7     5.8    1.21E+03   2.67E+01   2.82E-02   1.97E-06   9.35E-08   2.23E-08
   5.8     5.9    1.21E+03   2.67E+01   2.82E-02   1.97E-06   9.35E-08   2.23E-08
   5.9     6.0    1.21E+03   2.67E+01   2.82E-02   1.97E-06   9.35E-08   2.23E-08
   6.0     6.1    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.1     6.2    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.2     6.3    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.3     6.4    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.4     6.5    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.5     6.6    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.6     6.7    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.7     6.8    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.8     6.9    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   6.9     7.0    1.46E+03   3.20E+01   3.64E-02   2.81E-06   1.56E-07   3.14E-08
   7.0     7.1    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.1     7.2    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.2     7.3    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.3     7.4    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.4     7.5    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.5     7.6    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.6     7.7    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.7     7.8    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
