 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          6.45E-02   5.27E-04   2.76E-06   2.80E-10   2.02E-11   9.23E-12
   Max.:          2.05E+01   9.01E-02   3.96E-04   4.40E-08   4.77E-09   2.23E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -121    -120    1.44E-01   2.26E-03   1.61E-05   8.29E-10   3.48E-11   1.74E-11
  -120    -119    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -119    -118    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -118    -117    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -117    -116    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -116    -115    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -115    -114    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -114    -113    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -113    -112    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -112    -111    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -111    -110    1.82E-01   2.77E-03   2.01E-05   1.71E-09   5.27E-11   2.16E-11
  -110    -109    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -109    -108    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -108    -107    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -107    -106    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -106    -105    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -105    -104    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -104    -103    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -103    -102    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -102    -101    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -101    -100    2.83E-01   4.13E-03   3.35E-05   3.27E-09   9.28E-11   4.27E-11
  -100     -99    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -99     -98    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -98     -97    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -97     -96    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -96     -95    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -95     -94    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -94     -93    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -93     -92    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -92     -91    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -91     -90    5.21E-01   6.63E-03   5.28E-05   6.26E-09   1.69E-10   7.58E-11
   -90     -89    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -89     -88    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -88     -87    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -87     -86    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -86     -85    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -85     -84    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -84     -83    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -83     -82    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -82     -81    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -81     -80    3.13E+00   2.06E-02   1.21E-04   1.54E-08   8.35E-10   3.93E-10
   -80     -79    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -79     -78    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -78     -77    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -77     -76    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -76     -75    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -75     -74    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -74     -73    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -73     -72    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -72     -71    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -71     -70    9.72E+00   6.79E-02   3.93E-04   3.75E-08   1.98E-09   9.74E-10
   -70     -69    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
