 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.29E-11   9.36E-12
   Max.:          4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.6     5.7    7.53E+01   4.17E-01   1.64E-03   2.29E-07   1.71E-08   7.79E-09
   5.7     5.8    7.53E+01   4.17E-01   1.64E-03   2.29E-07   1.71E-08   7.79E-09
   5.8     5.9    7.53E+01   4.17E-01   1.64E-03   2.29E-07   1.71E-08   7.79E-09
   5.9     6.0    7.53E+01   4.17E-01   1.64E-03   2.29E-07   1.71E-08   7.79E-09
   6.0     6.1    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.1     6.2    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.2     6.3    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.3     6.4    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.4     6.5    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.5     6.6    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.6     6.7    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.7     6.8    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.8     6.9    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   6.9     7.0    1.53E+02   8.60E-01   4.63E-03   4.61E-07   4.47E-08   2.08E-08
   7.0     7.1    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.1     7.2    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.2     7.3    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.3     7.4    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.4     7.5    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.5     7.6    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.6     7.7    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.7     7.8    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.8     7.9    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   7.9     8.0    1.39E+02   1.01E+00   6.68E-03   6.07E-07   3.80E-08   1.88E-08
   8.0     8.1    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.1     8.2    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
